"INTERVAL","ELAPSED","TIMESTAMP","TRANSACTIONS","THROUGHPUT","LATENCY","EVICTING","LATENCY_50","LATENCY_95","LATENCY_99"
"0","1000","1445964491143","2588","2588.0","1083.5776125929165","0","1380.0","1427.0","1442.0"
"1","2000","1445964492139","2678","2678.0","1016.2141309059384","0","1249.0","1430.0","1468.0"
"2","3000","1445964493204","2660","2660.0","1020.5703703703704","0","1316.0","1449.0","1512.0"
"3","4000","1445964494138","2657","2657.0","1012.4220383275261","0","1275.0","1370.25","1389.0"
"4","5000","1445964495139","2728","2728.0","985.9918803418803","0","1241.0","1354.1000000000004","1383.0"
"5","6000","1445964496147","2620","2620.0","980.3424836601307","0","1256.0","1345.3000000000002","1355.0"
"6","7000","1445964497185","2810","2810.0","1018.1762515515102","0","1279.0","1390.0","1419.0"
"7","8000","1445964498145","2566","2566.0","957.3852385238524","0","1249.0","1327.0","1356.0"
"8","9000","1445964499137","2679","2679.0","1028.563746747615","0","1306.0","1400.75","1426.0"
"9","10000","1445964500135","2733","2733.0","993.0504664970314","0","1250.5","1357.0","1376.0"
"10","11000","1445964501138","2418","2418.0","1001.2197006277161","0","1278.0","1387.0","1390.0"
"11","12000","1445964502146","2703","2703.0","1079.7883552911178","0","1419.0","1517.0","1540.0"
"12","13000","1445964503136","2647","2647.0","1002.7340378687803","0","1240.0","1400.0","1467.6000000000004"
"13","14000","1445964504136","2718","2718.0","979.59754028838","0","1237.0","1362.0","1414.8599999999997"
"14","15000","1445964505145","2656","2656.0","975.05663640294","0","1213.0","1309.4","1328.0"
"15","16000","1445964506136","2877","2877.0","943.754","0","1185.0","1316.0","1367.0"
"16","17000","1445964507136","2695","2695.0","1002.4857022708159","0","1270.0","1334.0","1340.0"
"17","18000","1445964508137","2495","2495.0","956.4759638267492","0","1224.0","1392.0","1446.0"
"18","19000","1445964509140","2913","2913.0","943.6159045725647","0","1186.0","1394.0","1451.1600000000008"
"19","20000","1445964510135","2745","2745.0","1024.059829059829","0","1282.0","1362.0","1397.0"
"20","21000","1445964511136","2859","2859.0","909.857428115016","0","1126.0","1348.0","1421.0"
"21","22000","1445964512136","2195","2195.0","971.0599469496021","0","1244.0","1395.0","1496.0"
"22","23000","1445964513145","1440","1440.0","1368.67993754879","0","1727.0","1917.0","1923.0"
"23","24000","1445964514136","1712","1712.0","1627.4043109079034","0","2022.0","2214.5","2239.0"
"24","25000","1445964515136","1784","1784.0","1537.1657355679702","0","1908.0","2169.0","2241.0"
"25","26000","1445964516136","1843","1843.0","1457.2276621787025","0","1808.0","1880.0","1903.67"
"26","27000","1445964517135","1859","1859.0","1415.9121011438892","0","1770.0","1852.0","1856.0"
"27","28000","1445964518138","1863","1863.0","1386.490291262136","0","1765.0","1838.0","1858.53"
"28","29000","1445964519135","1762","1762.0","1400.5332056194125","0","1793.0","1911.0","1922.0"
"29","30000","1445964520135","1802","1802.0","1401.3292231812577","0","1836.5","1951.0","1955.0"
"30","31000","1445964521137","1840","1840.0","1400.1756756756756","0","1864.0","1937.3000000000002","1975.73"
"31","32000","1445964522135","1760","1760.0","1484.232224396608","0","1903.0","1980.4","2021.3600000000001"
"32","33000","1445964523135","1904","1904.0","1456.7343475716793","0","1848.0","1936.0","1967.0"
"33","34000","1445964524135","1730","1730.0","1413.1737704918032","0","1828.0","1885.0","1896.0"
"34","35000","1445964525134","1805","1805.0","1396.0073574494174","0","1815.0","1901.5","1908.0"
"35","36000","1445964526135","1859","1859.0","1505.4179926560587","0","1868.0","1941.0","1951.67"
"36","37000","1445964527136","1831","1831.0","1449.5036991368681","0","1837.5","1926.0","1952.0"
"37","38000","1445964528135","1793","1793.0","1461.9508816120906","0","1823.0","1905.0","1915.0"
"38","39000","1445964529135","1747","1747.0","1438.718112244898","0","1867.5","1946.0","1955.0"
"39","40000","1445964530135","1786","1786.0","1456.6284810126583","0","1896.0","1960.0","1968.0"
"40","41000","1445964531135","1943","1943.0","1445.7270601987143","0","1805.0","1879.0","1938.9"
"41","42000","1445964532136","1664","1664.0","1472.143543956044","0","1860.0","1903.0","1906.0"
"42","43000","1445964533136","1773","1773.0","1484.6436203645505","0","1901.0","1931.0","1941.0"
