"INTERVAL","ELAPSED","TIMESTAMP","TRANSACTIONS","THROUGHPUT","LATENCY","EVICTING","LATENCY_50","LATENCY_95","LATENCY_99"
"0","1000","1446020020640","4284","4284.0","3.1763843050971765","0","1.0","7.0","53.0"
"1","2000","1446020021638","3890","3890.0","2.246109746109746","0","1.0","5.0","21.0"
"2","3000","1446020022679","3607","3607.0","1.9802110817941954","0","1.0","5.0","11.0"
"3","4000","1446020023638","3938","3938.0","2.053169734151329","0","1.0","5.0","15.559999999999945"
"4","5000","1446020024639","3683","3683.0","2.1679721496953874","0","1.0","5.0","24.0600000000004"
"5","6000","1446020025636","3818","3818.0","2.029349213100808","0","1.0","5.0","16.0"
"6","7000","1446020026645","3665","3665.0","2.153610503282276","0","1.0","4.0","16.799999999999272"
"7","8000","1446020027640","3369","3369.0","2.056723716381418","0","1.0","4.0","26.959999999999127"
"8","9000","1446020028637","3770","3770.0","2.4492430988423863","0","1.0","5.0","44.0"
"9","10000","1446020029637","3716","3716.0","2.0152261531571876","0","1.0","4.0","12.0"
"10","11000","1446020030637","3935","3935.0","2.5103364410214835","0","1.0","5.0","48.0"
"11","12000","1446020031640","3869","3869.0","2.0362821035466774","0","1.0","5.0","15.0"
"12","13000","1446020032636","4192","4192.0","2.1358737490377213","0","1.0","5.0","22.0"
"13","14000","1446020033636","3819","3819.0","2.270797962648557","0","1.0","5.0","38.24999999999909"
"14","15000","1446020034637","3875","3875.0","2.2740066225165565","0","1.0","5.0","18.0"
"15","16000","1446020035636","3866","3866.0","2.3506972928630026","0","1.0","5.0","20.63000000000011"
"16","17000","1446020036641","3641","3641.0","1.8599911386796633","0","1.0","4.0","7.0"
"17","18000","1446020037636","3465","3465.0","1.9553868058851447","0","1.0","4.0","13.940000000000055"
"18","19000","1446020038641","3793","3793.0","2.1536144578313254","0","1.0","4.0","25.769999999999982"
"19","20000","1446020039636","3742","3742.0","1.9937388193202146","0","1.0","4.0","13.0"
"20","21000","1446020040636","4029","4029.0","2.5210712879086254","0","1.0","4.099999999999909","46.23999999999978"
"21","22000","1446020041636","4050","4050.0","2.093226788432268","0","1.0","5.0","12.0"
"22","23000","1446020042642","4413","4413.0","1.8917470525187567","0","1.0","4.0","11.0"
"23","24000","1446020043636","3991","3991.0","2.2224824355971897","0","1.0","5.0","21.0"
"24","25000","1446020044635","4110","4110.0","2.095","0","1.0","5.0","17.0"
"25","26000","1446020045636","3786","3786.0","1.9529411764705882","0","1.0","4.0","14.210000000000036"
"26","27000","1446020046636","4118","4118.0","2.160091047040971","0","1.0","5.0","13.0"
"27","28000","1446020047635","4059","4059.0","2.1708051166290443","0","1.0","4.0","16.859999999999673"
"28","29000","1446020048636","3876","3876.0","1.9520325203252034","0","1.0","4.0","12.0"
"29","30000","1446020049636","3721","3721.0","1.9261976694000864","0","1.0","5.0","12.0"
"30","31000","1446020050636","4055","4054.9999999999995","2.012015503875969","0","1.0","4.0","18.420000000000073"
"31","32000","1446020051636","3857","3857.0","1.8313352625051673","0","1.0","4.0","8.0"
"32","33000","1446020052636","3740","3740.0","1.7730836236933798","0","1.0","4.0","7.050000000000182"
"33","34000","1446020053635","4600","4600.0","2.1109232330064254","0","1.0","4.0","13.88000000000011"
"34","35000","1446020054636","4146","4146.0","1.81169324221716","0","1.0","4.0","9.0"
"35","36000","1446020055635","3831","3831.0","1.9319727891156462","0","1.0","4.0","10.0"
"36","37000","1446020056636","4198","4198.0","1.9724007561436674","0","1.0","5.0","11.0"
"37","38000","1446020057636","4032","4032.0","2.0486988847583643","0","1.0","5.0","10.0"
"38","39000","1446020058635","4242","4242.0","1.7589217919514046","0","1.0","4.0","9.0"
"39","40000","1446020059636","3914","3914.0","2.032156862745098","0","1.0","4.0","28.0"
"40","41000","1446020060635","4256","4256.0","1.9343396226415095","0","1.0","4.0","11.0"
"41","42000","1446020061635","3841","3841.0","2.02191894127378","0","1.0","4.0","16.829999999999927"
"42","43000","1446020062636","4539","4539.0","1.9524298425735798","0","1.0","4.0","10.0"
"43","44000","1446020063636","3617","3617.0","2.059190031152648","0","1.0","4.0","17.0"
"44","45000","1446020064635","3904","3904.0","2.184","0","1.0","4.0","16.01000000000022"
"45","46000","1446020065636","3540","3540.0","1.918531781557744","0","1.0","4.0","10.670000000000073"
"46","47000","1446020066635","4141","4141.0","2.7487299726455645","0","1.0","4.0","71.10000000000036"
"47","48000","1446020067636","3906","3906.0","2.1518828451882843","0","1.0","4.0","37.0"
"48","49000","1446020068635","3911","3911.0","1.8030176026823135","0","1.0","4.0","9.0"
"49","50000","1446020069634","4013","4013.0","2.129254457050243","0","1.0","4.0","13.659999999999854"
"50","51000","1446020070636","4154","4154.0","2.3683431952662723","0","1.0","5.0","49.9699999999998"
"51","52000","1446020071661","4000","4000.0","2.0058479532163744","0","1.0","4.0","12.0"
"52","53000","1446020072634","3743","3743.0","2.0719895287958114","0","1.0","4.0","40.27000000000044"
"53","54000","1446020073636","3719","3719.0","1.9235723486474883","0","1.0","4.0","11.0"
"54","55000","1446020074635","4050","4050.0","1.911023622047244","0","1.0","4.0","11.0"
"55","56000","1446020075635","3311","3311.0","2.334735857877513","0","1.0","4.0","19.859999999999673"
"56","57000","1446020076636","4279","4279.0","2.114151962549514","0","1.0","5.0","15.0"
"57","58000","1446020077637","4603","4603.0","2.195978295563358","0","1.0","5.0","15.0"
"58","59000","1446020078636","4178","4178.0","2.2911921032649962","0","1.0","5.0","23.0"
"59","60000","1446020079637","4070","4070.0000000000005","2.0235976789168277","0","1.0","4.0","25.159999999999854"
"60","61000","1446020080636","4514","4514.0","1.960320106702234","0","1.0","5.0","11.0"
"61","62000","1446020081635","3992","3992.0","2.326164874551971","0","1.0","4.0","12.0"
"62","63000","1446020082636","4753","4753.0","1.739980449657869","0","1.0","4.0","9.0"
"63","64000","1446020083635","4039","4038.9999999999995","2.3228442991418063","0","1.0","4.0","21.539999999999964"
"64","65000","1446020084636","4260","4260.0","2.142749244712991","0","1.0","4.0","15.5900000000006"
"65","66000","1446020085635","3932","3932.0","1.9221196306704136","0","1.0","5.0","11.0"
"66","67000","1446020086635","3966","3966.0","2.5094562647754137","0","1.0","6.0","25.0"
"67","68000","1446020087636","3647","3647.0","2.1729257641921396","0","1.0","4.0","18.0"
"68","69000","1446020088636","3906","3906.0","1.7871720116618075","0","1.0","4.0","10.0"
"69","70000","1446020089646","3950","3950.0","2.0336900515259613","0","1.0","4.0","12.0"
"70","71000","1446020090636","3791","3791.0","1.8769363166953528","0","1.0","4.0","10.0"
"71","72000","1446020091640","3886","3886.0","1.7812118747458316","0","1.0","4.0","7.0"
"72","73000","1446020092635","3828","3828.0","2.027250206440958","0","1.0","4.0","18.0"
"73","74000","1446020093637","4000","4000.0","2.1735668789808917","0","1.0","5.0","16.0"
"74","75000","1446020094635","4211","4211.0","1.9300776914539401","0","1.0","4.0","9.0"
"75","76000","1446020095635","3879","3879.0","1.86996644295302","0","1.0","4.0","11.0"
"76","77000","1446020096635","3747","3747.0","1.9969244288224957","0","1.0","4.0","18.0"
"77","78000","1446020097634","4031","4030.9999999999995","1.971089108910891","0","1.0","4.0","14.0"
"78","79000","1446020098635","3805","3805.0","2.0855636658556365","0","1.0","5.0","12.349999999999909"
"79","80000","1446020099636","4424","4424.0","2.131366350544433","0","1.0","4.0","15.539999999999964"
"80","81000","1446020100635","3862","3862.0","2.360662701784197","0","1.0","4.0","47.4699999999998"
"81","82000","1446020101635","4468","4468.0","2.0056022408963585","0","1.0","4.0","12.0"
"82","83000","1446020102636","3822","3822.0","2.7590062111801243","0","1.0","6.0","44.0"
"83","84000","1446020103635","4532","4532.0","1.7185131721400217","0","1.0","4.0","8.300000000000182"
"84","85000","1446020104635","4054","4054.0000000000005","2.234816247582205","0","1.0","4.0","41.0"
"85","86000","1446020105636","3890","3890.0","1.8103448275862069","0","1.0","4.0","7.230000000000018"
"86","87000","1446020106636","3872","3872.0","2.265074868474302","0","1.0","4.0","48.0"
"87","88000","1446020107636","4262","4262.0","2.302240176276166","0","1.0","5.0","21.0"
"88","89000","1446020108635","4027","4027.0","2.274879614767255","0","1.0","5.0","21.18000000000029"
"89","90000","1446020109636","4109","4109.0","2.0227010388611006","0","1.0","5.0","13.0"
"90","91000","1446020110635","4162","4162.0","1.9695074276778732","0","1.0","4.0","13.0"
"91","92000","1446020111635","4318","4318.0","2.011627906976744","0","1.0","4.0","12.0"
"92","93000","1446020112635","3979","3979.0","1.6910994764397906","0","1.0","3.0","7.0"
"93","94000","1446020113635","4351","4351.0","2.153930131004367","0","1.0","4.0","31.0"
"94","95000","1446020114636","4242","4242.0","2.0602018745493873","0","1.0","5.0","12.0"
"95","96000","1446020115635","3719","3719.0","2.1557342361404994","0","1.0","4.0","19.76000000000022"
"96","97000","1446020116636","4236","4236.0","2.002724795640327","0","1.0","4.0","10.320000000000164"
"97","98000","1446020117636","3744","3744.0","1.8146383715894328","0","1.0","4.0","8.0"
"98","99000","1446020118636","4345","4345.0","1.8578927634045743","0","1.0","4.0","12.0"
"99","100000","1446020119635","4027","4027.0","2.23431448489543","0","1.0","5.0","24.190000000000055"
"100","101000","1446020120635","4036","4035.9999999999995","1.7074117190531626","0","1.0","4.0","7.0"
"101","102000","1446020121636","4175","4175.0","1.8052959501557633","0","1.0","4.0","9.0"
"102","103000","1446020122635","4230","4230.0","1.9912911775842483","0","1.0","4.0","13.0"
"103","104000","1446020123635","4087","4086.9999999999995","2.172949863972017","0","1.0","4.0","25.0"
"104","105000","1446020124635","3999","3999.0","2.2625482625482625","0","1.0","5.0","23.220000000000255"
"105","106000","1446020125635","3827","3827.0","2.0308134757600658","0","1.0","5.0","12.0"
"106","107000","1446020126636","4329","4329.0","1.993809176984705","0","1.0","5.0","12.0"
"107","108000","1446020127634","4288","4288.0","2.1057028695968034","0","1.0","5.0","14.480000000000018"
"108","109000","1446020128637","4303","4303.0","1.9992748368382887","0","1.0","5.0","13.0"
"109","110000","1446020129634","3726","3726.0","2.0157154673283704","0","1.0","5.0","12.829999999999927"
"110","111000","1446020130636","4197","4197.0","1.82938026013772","0","1.0","4.349999999999909","12.0"
"111","112000","1446020131635","3991","3991.0","1.917446116307442","0","1.0","4.0","10.0"
"112","113000","1446020132634","4018","4018.0","2.062299035369775","0","1.0","4.0","25.69000000000142"
"113","114000","1446020133635","3714","3714.0","1.8959587274290628","0","1.0","4.0","9.0"
"114","115000","1446020134635","4460","4460.0","1.980316344463972","0","1.0","4.0","15.0"
"115","116000","1446020135636","3429","3429.0","1.8991185112634672","0","1.0","4.0","9.589999999999918"
"116","117000","1446020136634","4415","4415.0","2.311095255083839","0","1.0","5.0","24.940000000000055"
"117","118000","1446020137634","4475","4475.0","2.3113815318539728","0","1.0","5.0","36.0"
"118","119000","1446020138635","4208","4208.0","2.210166919575114","0","1.0","5.0","14.0"
"119","120000","1446020139636","3268","3268.0","2.3469689502217843","0","1.0","4.0","47.72000000000003"
"120","121000","1446020140635","4084","4083.9999999999995","2.152046783625731","0","1.0","4.0","30.0"
"121","122000","1446020141635","3956","3956.0","1.8589278516727126","0","1.0","4.0","9.0"
"122","123000","1446020142635","4423","4423.0","1.8538545853123858","0","1.0","4.0","10.639999999999873"
"123","124000","1446020143636","4340","4340.0","2.637650389242746","0","1.0","7.0","40.0"
"124","125000","1446020144638","4403","4403.0","2.601358598498391","0","1.0","5.199999999999818","43.039999999999964"
"125","126000","1446020145635","4048","4048.0","2.4363778298204526","0","1.0","5.0","33.38999999999987"
"126","127000","1446020146635","4246","4246.0","1.7720615846789336","0","1.0","4.0","9.38000000000011"
"127","128000","1446020147635","4247","4247.0","2.0130548302872064","0","1.0","5.0","12.0"
"128","129000","1446020148635","4289","4289.0","2.2575642965204237","0","1.0","5.0","24.570000000000164"
"129","130000","1446020149635","3889","3889.0","1.9908713692946058","0","1.0","4.0","11.0"
"130","131000","1446020150635","4481","4481.0","2.3245831855267824","0","1.0","6.0","19.0"
"131","132000","1446020151635","4298","4298.0","1.9665399239543726","0","1.0","4.0","16.0"
"132","133000","1446020152636","4069","4069.0","2.2467274890916302","0","1.0","5.0","22.0"
"133","134000","1446020153635","3456","3456.0","2.266258246936852","0","1.0","4.0","43.0"
"134","135000","1446020154654","4594","4594.0","2.753824756606398","0","1.0","6.0","50.0"
"135","136000","1446020155636","3951","3951.0","2.0162271805273835","0","1.0","4.800000000000182","12.0"
"136","137000","1446020156635","5001","5001.0","2.922869955156951","0","1.0","8.0","41.0"
"137","138000","1446020157636","3929","3929.0","2.060309698451508","0","1.0","4.0","16.4699999999998"
"138","139000","1446020158635","4360","4360.0","2.2595229619081523","0","1.0","5.0","22.920000000000073"
"139","140000","1446020159636","4105","4105.0","1.845173745173745","0","1.0","4.0","9.0"
"140","141000","1446020160635","4494","4494.0","2.259493670886076","0","1.0","5.0","17.0"
"141","142000","1446020161635","4154","4154.0","1.892601431980907","0","1.0","4.0","11.0"
"142","143000","1446020162635","4133","4133.0","2.247434017595308","0","1.0","6.0","16.0"
"143","144000","1446020163635","4144","4144.0","1.8243847874720358","0","1.0","4.0","11.190000000000055"
