"INTERVAL","ELAPSED","TIMESTAMP","TRANSACTIONS","THROUGHPUT","LATENCY","EVICTING","LATENCY_50","LATENCY_95","LATENCY_99"
"0","1000","1446016151651","3882","3882.0","2.6584665846658466","0","1.0","6.0","40.0"
"1","2000","1446016152654","4167","4167.0","2.930740740740741","0","1.0","6.0","46.01000000000022"
"2","3000","1446016153715","3751","3751.0","2.0696517412935322","0","1.0","4.0","24.889999999999873"
"3","4000","1446016154648","4131","4131.0","2.3320839580209896","0","1.0","5.0","30.0"
"4","5000","1446016155650","4292","4292.0","1.8013367991088005","0","1.0","4.0","10.0"
"5","6000","1446016156649","3669","3669.0","1.7535241349850492","0","1.0","4.0","7.0"
"6","7000","1446016157653","3943","3943.0","2.1590351594439903","0","1.0","4.0","21.0"
"7","8000","1446016158648","3852","3852.0","2.021419571608568","0","1.0","4.0","13.399999999999636"
"8","9000","1446016159647","3771","3771.0","1.9579439252336448","0","1.0","4.0","11.4699999999998"
"9","10000","1446016160648","3460","3460.0","2.061975768872321","0","1.0","4.0","19.550000000000182"
"10","11000","1446016161647","3657","3657.0","1.6399113082039911","0","1.0","4.0","8.0"
"11","12000","1446016162648","4038","4038.0000000000005","1.9639855942376951","0","1.0","4.0","13.0"
"12","13000","1446016163647","3688","3688.0","1.7739430543572046","0","1.0","4.0","7.0"
"13","14000","1446016164647","3882","3882.0","2.0701394585726005","0","1.0","5.0","12.63000000000011"
"14","15000","1446016165653","3819","3819.0","2.1982091982091982","0","1.0","4.0","29.440000000000055"
"15","16000","1446016166648","3870","3870.0","2.210153974198918","0","1.0","4.0","38.0"
"16","17000","1446016167653","3776","3776.0","1.9614079728583544","0","1.0","4.0","15.429999999999836"
"17","18000","1446016168648","4139","4139.0","1.8155597722960153","0","1.0","4.0","8.0"
"18","19000","1446016169651","4032","4032.0","2.15728077232502","0","1.0","5.0","21.0"
"19","20000","1446016170646","3915","3915.0","1.826722338204593","0","1.0","4.0","10.0"
"20","21000","1446016171647","3892","3892.0","1.959319219593192","0","1.0","4.0","12.0"
"21","22000","1446016172647","3906","3906.0","2.0797697368421053","0","1.0","4.0","16.830000000000382"
"22","23000","1446016173646","3915","3915.0","2.096839546191248","0","1.0","4.0","17.0"
"23","24000","1446016174647","4140","4140.0","2.210863824971709","0","1.0","5.0","28.0"
"24","25000","1446016175647","4025","4025.0000000000005","1.8075135553834236","0","1.0","4.0","9.0"
"25","26000","1446016176673","3782","3782.0","1.8493384549722578","0","1.0","3.0","9.0"
"26","27000","1446016177652","4386","4386.0","1.7566568047337279","0","1.0","4.0","9.9699999999998"
"27","28000","1446016178647","3681","3681.0","2.1387054161162484","0","1.0","4.0","37.30000000000018"
"28","29000","1446016179647","3906","3906.0","1.8969594594594594","0","1.0","4.0","11.0"
"29","30000","1446016180647","4094","4094.0000000000005","1.9787985865724382","0","1.0","4.0","17.0"
"30","31000","1446016181647","3929","3929.0","1.8461538461538463","0","1.0","4.0","10.0"
"31","32000","1446016182646","4049","4049.0000000000005","1.7052505966587113","0","1.0","3.0","9.86999999999989"
"32","33000","1446016183647","3969","3969.0","1.879062114356232","0","1.0","4.0","12.699999999999818"
