"INTERVAL","ELAPSED","TIMESTAMP","TRANSACTIONS","THROUGHPUT","LATENCY","EVICTING","LATENCY_50","LATENCY_95","LATENCY_99"
"0","1000","1446030666668","4043","4043.0","2.613378684807256","0","1.0","7.0","28.0"
"1","2000","1446030667669","3326","3326.0","2.1342570473005256","0","1.0","5.0","11.079999999999927"
"2","3000","1446030668695","3772","3772.0","2.3298712089738265","0","1.0","5.0","43.0"
"3","4000","1446030669733","3293","3293.0","2.003868471953578","0","1.0","4.0","10.0"
"4","5000","1446030670668","3936","3936.0","2.6400763358778625","0","1.0","7.0","38.809999999999945"
"5","6000","1446030671665","3785","3785.0","2.289708265802269","0","1.0","5.0","20.0"
"6","7000","1446030672671","3447","3447.0","2.006735518634935","0","1.0","4.0","17.0"
"7","8000","1446030673665","3694","3694.0","2.2127472527472527","0","1.0","5.0","35.30000000000109"
"8","9000","1446030674668","4049","4049.0000000000005","2.495057334914986","0","1.0","5.0","42.7199999999998"
"9","10000","1446030675665","3845","3845.0","2.192874692874693","0","1.0","5.0","26.590000000000146"
"10","11000","1446030676664","3765","3765.0","2.411961522375575","0","1.0","5.0","45.0"
"11","12000","1446030677665","3605","3605.0","2.0352678571428573","0","1.0","4.0","11.610000000000127"
"12","13000","1446030678664","3985","3985.0","2.070875763747454","0","1.0","5.0","16.920000000000073"
"13","14000","1446030679664","3805","3805.0","1.9600509987250319","0","1.0","4.0","10.480000000000018"
"14","15000","1446030680665","4278","4278.0","1.9676691729323308","0","1.0","4.0","12.0"
"15","16000","1446030681664","4166","4166.0","2.2149355572403335","0","1.0","5.0","20.0"
"16","17000","1446030682691","4385","4385.0","2.1028305266929417","0","1.0","5.0","15.099999999999909"
"17","18000","1446030683664","4253","4253.0","2.077433628318584","0","1.0","4.0","27.019999999997708"
"18","19000","1446030684668","3948","3948.0","2.125615763546798","0","1.0","5.0","18.0"
"19","20000","1446030685668","4071","4070.9999999999995","1.7951277955271565","0","1.0","4.0","8.0"
"20","21000","1446030686664","4074","4074.0","2.1046200840015272","0","1.0","5.0","13.0"
"21","22000","1446030687663","4122","4122.0","2.4873756694720734","0","1.0","6.0","29.0"
"22","23000","1446030688663","3920","3920.0","1.937962202136401","0","1.0","4.0","12.670000000000073"
"23","24000","1446030689666","4332","4332.0","1.8216332378223496","0","1.0","4.0","9.0"
"24","25000","1446030690664","3851","3851.0","2.317527519051651","0","1.0","4.0","30.0"
"25","26000","1446030691663","4216","4216.0","2.1511853867081228","0","1.0","5.0","20.0"
"26","27000","1446030692663","3791","3791.0","1.9634042553191489","0","1.0","4.0","8.510000000000218"
"27","28000","1446030693697","4378","4378.0","1.9325966850828729","0","1.0","5.0","13.0"
"28","29000","1446030694694","3857","3857.0","2.1227330240404894","0","1.0","4.0","17.300000000000182"
"29","30000","1446030695663","4145","4145.0","1.749713412304165","0","1.0","4.0","8.0"
"30","31000","1446030696663","3823","3823.0","2.033333333333333","0","1.0","4.0","17.309999999999945"
"31","32000","1446030697672","4218","4218.0","1.8758568164508758","0","1.0","4.0","11.75"
"32","33000","1446030698662","3770","3770.0","2.017619252256124","0","1.0","4.0","16.0"
"33","34000","1446030699664","4463","4463.0","1.9332360452389639","0","1.0","5.0","13.0"
"34","35000","1446030700663","4113","4113.0","1.894694533762058","0","1.0","4.0","10.13000000000011"
"35","36000","1446030701663","3854","3854.0","1.9398773006134968","0","1.0","4.0","8.559999999999945"
"36","37000","1446030702663","4037","4037.0","2.2724752475247523","0","1.0","4.0","48.0"
"37","38000","1446030703663","4418","4418.0","1.9584736251402919","0","1.0","4.0","16.8400000000006"
"38","39000","1446030704664","4102","4102.0","2.005492349941153","0","1.0","4.0","19.559999999999945"
"39","40000","1446030705663","4157","4157.0","2.1333580980683506","0","1.0","5.0","12.0"
"40","41000","1446030706662","3584","3584.0","2.659423503325942","0","1.0","5.0","50.0"
"41","42000","1446030707668","3935","3935.0","2.046636401155592","0","1.0","5.0","11.0"
"42","43000","1446030708663","3822","3822.0","2.2227784730913642","0","1.0","4.0","25.079999999999927"
"43","44000","1446030709662","4562","4562.0","1.7138769670958511","0","1.0","4.0","8.0"
"44","45000","1446030710664","3955","3955.0","1.8791946308724832","0","1.0","5.0","11.0"
"45","46000","1446030711664","4006","4006.0","2.419928825622776","0","1.0","5.0","35.7199999999998"
"46","47000","1446030712662","4125","4125.0","2.593340815563038","0","1.0","5.0","53.2800000000002"
"47","48000","1446030713671","4146","4146.0","2.1254871395167574","0","1.0","5.0","16.34999999999991"
"48","49000","1446030714665","4701","4701.0","1.9706584783350392","0","1.0","4.0","13.0"
"49","50000","1446030715664","4167","4167.0","2.159469696969697","0","1.0","5.0","18.0"
"50","51000","1446030716663","4031","4030.9999999999995","2.009126984126984","0","1.0","5.0","12.809999999999945"
"51","52000","1446030717680","3696","3696.0","1.86657974793568","0","1.0","4.0","10.0"
"52","53000","1446030718663","4190","4190.0","1.9697683549273655","0","1.0","4.0","15.539999999999964"
"53","54000","1446030719681","3877","3877.0","2.2380754873496476","0","1.0","5.0","28.200000000000728"
"54","55000","1446030720662","4129","4129.0","2.1500383729854184","0","1.0","4.0","10.0"
"55","56000","1446030721664","3993","3993.0","2.176056338028169","0","1.0","5.0","16.0"
"56","57000","1446030722664","4592","4592.0","1.9564004185559818","0","1.0","4.0","11.340000000000146"
"57","58000","1446030723670","4086","4086.0000000000005","1.905616224648986","0","1.0","4.0","13.0"
"58","59000","1446030724665","4278","4278.0","2.0808770668583754","0","1.0","4.0","15.0"
"59","60000","1446030725663","3721","3721.0","1.9713168187744459","0","1.0","4.0","10.0"
"60","61000","1446030726663","3760","3760.0","2.1127659574468085","0","1.0","4.0","44.0"
"61","62000","1446030727664","4299","4299.0","1.7783177570093458","0","1.0","4.0","8.260000000000218"
"62","63000","1446030728663","4450","4450.0","2.0010552233556105","0","1.0","5.0","15.579999999999927"
"63","64000","1446030729663","3760","3760.0","2.235318791946309","0","1.0","5.0","21.0"
"64","65000","1446030730663","4235","4235.0","2.337018680899733","0","1.0","6.0","27.7800000000002"
"65","66000","1446030731662","4036","4035.9999999999995","1.823220064724919","0","1.0","4.0","12.0"
"66","67000","1446030732663","4282","4282.0","2.3415787559112404","0","1.0","6.0","22.0"
"67","68000","1446030733662","4586","4586.0","2.29153605015674","0","1.0","5.5","21.300000000000182"
"68","69000","1446030734663","3973","3973.0","1.9451833937928256","0","1.0","4.0","16.0"
"69","70000","1446030735663","4251","4251.0","2.1719145855953674","0","1.0","5.0","15.38000000000011"
"70","71000","1446030736663","4217","4217.0","1.7550553223960321","0","1.0","4.0","10.0"
"71","72000","1446030737668","3845","3845.0","1.884788847888479","0","1.0","4.0","11.61999999999989"
