"INTERVAL","ELAPSED","TIMESTAMP","TRANSACTIONS","THROUGHPUT","LATENCY","EVICTING","LATENCY_50","LATENCY_95","LATENCY_99"
"0","1000","1446026990702","2554","2554.0","1116.6275924256086","0","1403.0","1507.0","1560.83"
"1","2000","1446026991700","2403","2403.0","1057.127587867116","0","1373.0","1429.0","1469.7199999999993"
"2","3000","1446026992706","2672","2672.0","1053.069298245614","0","1398.5","1479.0","1499.21"
"3","4000","1446026993700","2439","2439.0","1010.7033492822967","0","1298.0","1478.0","1530.0"
"4","5000","1446026994700","2513","2513.0","1107.11213659437","0","1408.0","1475.0","1583.0"
"5","6000","1446026995772","2575","2575.0","1015.2697841726618","0","1281.5","1427.0","1458.0"
"6","7000","1446026996766","2728","2728.0","1006.0911008013496","0","1305.0","1422.0","1468.0"
"7","8000","1446026997700","2518","2518.0","1079.4115188109615","0","1356.0","1439.4","1533.0"
"8","9000","1446026998705","2332","2332.0","1044.5223214285713","0","1350.0","1449.0","1452.85"
"9","10000","1446026999699","2592","2592.0","1096.528125","0","1382.0","1439.0","1448.0"
"10","11000","1446027000700","2666","2666.0","1041.3612903225805","0","1339.0","1444.0","1462.0"
"11","12000","1446027001699","2649","2649.0","998.5409190371992","0","1290.0","1388.0","1466.0"
"12","13000","1446027002700","2819","2819.0","1035.1612236461347","0","1303.0","1382.0","1423.0"
"13","14000","1446027003713","2860","2860.0","957.3915322580646","0","1165.0","1313.0","1321.0"
"14","15000","1446027004707","2737","2737.0","978.4832698009318","0","1223.0","1273.0","1297.0"
"15","16000","1446027005699","2694","2694.0","970.5234241908007","0","1245.5","1359.0","1372.5300000000002"
"16","17000","1446027006698","2609","2609.0","937.7933035714286","0","1218.0","1340.0500000000002","1371.6100000000001"
"17","18000","1446027007700","2504","2504.0","1071.823692734845","0","1355.0","1423.0","1433.0"
"18","19000","1446027008698","2901","2901.0","1009.3622266401591","0","1269.0","1418.0","1436.0"
"19","20000","1446027009698","2538","2538.0","960.7202733485194","0","1199.0","1339.3000000000002","1373.0"
"20","21000","1446027010699","2782","2782.0","947.2418952618453","0","1222.0","1339.0","1391.0"
"21","22000","1446027011698","2271","2271.0","997.5716519020323","0","1254.0","1384.1","1433.0"
"22","23000","1446027012698","1500","1500.0","1280.9615384615386","0","1628.5","1875.0","1895.0"
"23","24000","1446027013703","1802","1802.0","1524.1922604422605","0","1951.0","2159.0","2263.0"
"24","25000","1446027014698","1735","1735.0","1525.530839895013","0","1942.0","2123.7","2259.77"
"25","26000","1446027015699","1865","1865.0","1511.983695652174","0","1937.0","2029.25","2083.45"
"26","27000","1446027016698","1772","1772.0","1472.249343832021","0","1903.0","1951.0","1978.0"
"27","28000","1446027017698","1822","1822.0","1459.697213622291","0","1878.0","1935.0","1959.0"
"28","29000","1446027018699","1711","1711.0","1489.2652259332024","0","1895.0","1994.0","2008.0"
"29","30000","1446027019698","1831","1831.0","1470.5479204339963","0","1902.0","1944.0","1959.42"
"30","31000","1446027020698","1802","1802.0","1427.123018389347","0","1822.0","1919.2","1955.0"
"31","32000","1446027021698","1717","1717.0","1452.4986737400532","0","1866.0","1986.0","2000.0"
"32","33000","1446027022698","1749","1749.0","1459.7339331619537","0","1939.0","2002.5","2024.45"
"33","34000","1446027023698","1897","1897.0","1434.4824355971898","0","1881.0","1978.0","2011.8600000000001"
"34","35000","1446027024698","1749","1749.0","1451.996096291477","0","1856.0","1926.2","1944.64"
"35","36000","1446027025698","1846","1846.0","1451.8159658744669","0","1852.0","1926.0","1962.6"
"36","37000","1446027026698","1742","1742.0","1451.6668839634942","0","1853.0","1891.0","1901.0"
"37","38000","1446027027699","1910","1910.0","1455.4285714285713","0","1850.0","1921.0","1954.0"
"38","39000","1446027028698","1739","1739.0","1451.2614379084966","0","1838.0","1916.0","1936.0"
"39","40000","1446027029699","1866","1866.0","1485.2799518362433","0","1879.0","1947.0","1991.0"
"40","41000","1446027030698","1767","1767.0","1434.0605280103027","0","1840.0","1893.4","1901.48"
"41","42000","1446027031697","1889","1889.0","1460.592459605027","0","1866.0","1953.0","2013.3"
"42","43000","1446027032698","1705","1705.0","1414.2602555480835","0","1880.0","1957.0","1973.0"
