"INTERVAL","ELAPSED","TIMESTAMP","TRANSACTIONS","THROUGHPUT","LATENCY","EVICTING","LATENCY_50","LATENCY_95","LATENCY_99"
"0","1000","1434031056345","8225","8225.0","267.6504700119158","0","12.0","1603.0","2033.4799999999996"
"1","2000","1434031057340","8100","8100.0","264.7673563844269","0","10.0","1648.0","2134.55"
"2","3000","1434031058340","8216","8216.0","282.7604512276045","0","11.0","1724.3000000000002","2172.9799999999996"
"3","4000","1434031059340","7972","7972.0","254.06232914160745","0","11.0","1695.25","2212.8500000000004"
"4","5000","1434031060339","7713","7713.0","275.24442562799885","0","9.0","1928.75","2486.2999999999993"
"5","6000","1434031061338","7981","7981.0","255.08753096614367","0","9.0","1823.0","2548.7000000000007"
"6","7000","1434031062337","7889","7889.0","244.81431954311185","0","7.0","1891.0","2862.0"
"7","8000","1434031063337","8045","8045.0","269.9639286679276","0","8.0","1984.9499999999998","2962.909999999998"
"8","9000","1434031064338","7634","7634.0","251.57532260403073","0","7.0","1795.0","3016.0"
"9","10000","1434031065337","8226","8226.0","239.94794042667382","0","5.0","1880.3999999999996","2974.4799999999996"
"10","11000","1434031066337","7380","7380.0","247.44703389830508","0","6.0","1944.6499999999996","3145.9300000000003"
"11","12000","1434031067337","7413","7413.0","278.1383010432191","0","6.0","2265.0","3107.91"
"12","13000","1434031068337","8053","8053.000000000001","262.4273864563503","0","6.0","2130.7000000000007","3019.880000000001"
"13","14000","1434031069353","7509","7509.0","276.4186286050618","0","6.0","2097.0","3077.500000000002"
"14","15000","1434031070336","7604","7604.0","237.23066783831283","0","5.0","1930.6499999999996","3109.459999999999"
"15","16000","1434031071336","8120","8119.999999999999","244.48666849917538","0","5.0","1941.25","3199.75"
"16","17000","1434031072337","7396","7396.0","223.63654135338345","0","5.0","1841.5500000000002","3069.5300000000007"
"17","18000","1434031073337","5107","5107.0","476.2503870825039","0","6.0","2678.0","3341.4000000000005"
"18","19000","1434031074336","8411","8411.0","179.0383116883117","0","6.0","978.0","2857.220000000005"
"19","20000","1434031075336","7398","7398.0","182.9008435696315","0","6.0","1195.9999999999955","3213.519999999997"
"20","21000","1434031076337","7994","7994.0","181.7415300546448","0","5.0","1333.0500000000002","3620.7900000000236"
"21","22000","1434031077336","7396","7396.0","216.59990937924786","0","5.0","2037.0","3577.8"
"22","23000","1434031078337","7345","7345.0","191.32088646023072","0","5.0","1443.8999999999978","3834.13"
"23","24000","1434031079337","7705","7705.0","172.0203327171904","0","5.0","1168.7999999999938","3651.0"
"24","25000","1434031080336","7304","7304.0","175.05785498489425","0","5.0","1020.1500000000042","4039.770000000007"
"25","26000","1434031081337","7523","7523.0","223.75373675809027","0","5.0","1754.0","4461.100000000008"
